"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.276354200E-2,6.498448940E1,2.551468280E1,2.102383745E1,NaN,NaN,6.393199921E1,1.144973183E1
7.143874470E-1,6.498451517E1,2.551446901E1,1.591085213E1,1.500000060E-1,1.263000031E2,7.943819046E0,7.378448963E0
1.445467811E0,6.498453399E1,2.551451737E1,1.612869763E1,0.000000000E0,NaN,6.572319031E0,8.331484795E0
2.445715780E0,6.498454598E1,2.551454352E1,1.671580244E1,0.000000000E0,NaN,5.272537708E0,7.143775463E0
3.445900624E0,6.498455177E1,2.551455396E1,1.682737868E1,0.000000000E0,NaN,4.598617554E0,6.333666801E0
4.444989009E0,6.498455547E1,2.551455539E1,1.751390534E1,0.000000000E0,NaN,4.261688709E0,5.670876503E0
5.445209737E0,6.498455726E1,2.551455594E1,1.824291083E1,0.000000000E0,NaN,3.975779772E0,4.984896660E0
6.445403643E0,6.498455936E1,2.551455636E1,1.874584240E1,0.000000000E0,NaN,3.813390732E0,4.593879223E0
7.445758382E0,6.498455897E1,2.551455052E1,1.874590384E1,0.000000000E0,NaN,3.790092468E0,4.286050320E0
8.444948799E0,6.498455827E1,2.551454530E1,1.897673884E1,0.000000000E0,NaN,3.790092468E0,4.031929970E0
9.445155518E0,6.498455870E1,2.551454161E1,1.925023825E1,0.000000000E0,NaN,3.790092468E0,3.836496115E0
1.044575635E1,6.498455950E1,2.551453900E1,1.952001472E1,0.000000000E0,NaN,3.790092468E0,3.695803881E0
1.144618864E1,6.498456026E1,2.551453777E1,1.980907808E1,0.000000000E0,NaN,3.790092468E0,3.513052225E0
1.244513911E1,6.498456578E1,2.551456320E1,1.925860377E1,4.699999988E-1,1.261999969E2,3.790092468E0,3.287286758E0
1.344522182E1,6.498457152E1,2.551460463E1,1.916399915E1,1.970000029E0,8.819999695E1,3.790092468E0,3.108349323E0
1.444542968E1,6.498457435E1,2.551463790E1,1.898003744E1,1.580000043E0,8.840000153E1,3.790092468E0,2.915153503E0
1.544572057E1,6.498457714E1,2.551466942E1,1.852501880E1,1.470000029E0,8.730000305E1,3.790092468E0,2.747389555E0
1.644502854E1,6.498457946E1,2.551470302E1,1.799547552E1,1.529999971E0,8.940000153E1,3.790092468E0,2.667385101E0
1.744519604E1,6.498458232E1,2.551473928E1,1.754070046E1,1.580000043E0,8.940000153E1,3.790092468E0,2.566189289E0
1.844524265E1,6.498458615E1,2.551477442E1,1.687144890E1,1.490000010E0,8.769999695E1,3.790092468E0,2.500000000E0
1.944552275E1,6.498459044E1,2.551480903E1,1.661302548E1,1.509999990E0,8.580000305E1,3.790092468E0,2.500000000E0
2.044530947E1,6.498459468E1,2.551484448E1,1.621312240E1,1.519999981E0,8.509999847E1,3.790092468E0,2.500000000E0
2.144519192E1,6.498459950E1,2.551487885E1,1.652488993E1,1.519999981E0,8.430000305E1,3.790092468E0,2.500000000E0
2.244524530E1,6.498460461E1,2.551491228E1,1.675987561E1,1.470000029E0,8.350000000E1,3.790092468E0,2.500000000E0
2.344556036E1,6.498460905E1,2.551494528E1,1.686003408E1,1.470000029E0,8.459999847E1,3.790092468E0,2.500000000E0
2.444537650E1,6.498461292E1,2.551497811E1,1.715733560E1,1.509999990E0,8.440000153E1,3.790092468E0,2.500000000E0
2.544527660E1,6.498461886E1,2.551501116E1,1.738090853E1,1.509999990E0,8.530000305E1,3.790092468E0,2.500000000E0
2.644528910E1,6.498462193E1,2.551504093E1,1.753520434E1,1.460000038E0,8.430000305E1,3.790092468E0,2.500000000E0
2.744515035E1,6.498462464E1,2.551506865E1,1.736680721E1,1.490000010E0,8.159999847E1,3.790092468E0,2.500000000E0
2.844510983E1,6.498462581E1,2.551509878E1,1.729124282E1,1.539999962E0,8.230000305E1,3.790092468E0,2.500000000E0
2.944513426E1,6.498462713E1,2.551512881E1,1.710770739E1,1.519999981E0,8.080000305E1,3.790092468E0,2.500000000E0
3.044542968E1,6.498462828E1,2.551516099E1,1.699485023E1,1.529999971E0,8.309999847E1,3.790092468E0,2.500000000E0
3.144498353E1,6.498462896E1,2.551519357E1,1.677792765E1,1.539999962E0,8.519999695E1,3.790092468E0,2.500000000E0
3.244580124E1,6.498462872E1,2.551522379E1,1.651077259E1,1.529999971E0,8.619999695E1,3.790092468E0,2.500000000E0
3.344553874E1,6.498462818E1,2.551525378E1,1.623134922E1,1.539999962E0,8.630000305E1,3.790092468E0,2.500000000E0
